Year,Planting.date,Unit ,Plot,Species,Number,Soil,Slash,VSMxtree,HT.cm.initial,RCD.mm.initial
2020,5/14/21,8,1,ACSA,6,S,2,20.5,40.6,5
2020,5/14/21,8,1,ACSA,7,S,1,15.3,29.6,4.3
2020,5/14/21,8,1,ACSA,8,S,1,12.11,33.2,5.1
2020,5/14/21,8,1,ACSA,9,S,2,12.6,37,4.3
2020,5/14/21,8,1,ACSA,10,U,0,14.8,36.2,4.4
2020,5/14/21,8,1,ACSA,11,U,0,14.4,35.2,4.5
2020,5/14/21,8,1,ACSA,12,U,0,23.2,29,3
2020,5/14/21,8,1,ACSA,13,S,0,17,31.2,2.4
2020,5/14/21,8,1,ACSA,14,U,1,23.2,42.5,6.1
2020,5/14/21,8,1,ACSA,15,U,0,20.5,30.2,3.4
2020,5/14/21,8,1,ACSA,16,U,1,23.8,37.6,4.8
2020,5/14/21,8,1,ACSA,17,U,1,19.8,31.6,3.1
2020,5/14/21,8,1,ACSA,18,U,0,23.11,33,3.9
2020,5/14/21,8,1,ACSA,19,S,0,14,41.7,4.4
2020,5/14/21,8,1,ACSA,20,U,0,17.9,42.6,4.8
2020,5/14/21,8,1,NYSY,1,S,4,27.5,34.9,2.6
2020,5/14/21,8,1,NYSY,2,S,0,23.2,14.4,2.8
2020,5/14/21,8,1,NYSY,3,S,3,10,15.3,5.2
2020,5/14/21,8,1,NYSY,4,S,0,23.9,12.4,3.8
2020,5/14/21,8,1,NYSY,5,S,1,17.6,21,5.1
2020,5/14/21,8,1,NYSY,6,S,0,31.5,13,3.8
2020,5/14/21,8,1,NYSY,7,S,1,11.3,15.4,3.1
2020,5/14/21,8,1,NYSY,8,S,1,13.8,13,3.1
2020,5/14/21,8,1,NYSY,9,S,2,15.8,12.5,4.4
2020,5/14/21,8,1,NYSY,10,S,0,14,10.6,2.8
2020,5/14/21,8,1,NYSY,11,S,0,22.2,15.4,3.4
2020,5/14/21,8,1,NYSY,12,U,0,20.9,22.3,2.5
2020,5/14/21,8,1,NYSY,13,U,0,27.1,26.2,2.3
2020,5/14/21,8,1,NYSY,14,U,1,25.7,13.2,4.5
2020,5/14/21,8,1,NYSY,15,U,1,19.3,16.4,5.3
2020,5/14/21,8,1,NYSY,16,U,0,29.8,14.2,2.9
2020,5/14/21,8,1,NYSY,17,S,1,12.1,11.7,3.9
2020,5/14/21,8,1,NYSY,18,U,2,20.2,12,2.2
2020,5/14/21,8,1,NYSY,19,S,1,14.9,13,4.7
2020,5/14/21,8,1,NYSY,20,U,0,23.6,9.4,2.7
2020,5/14/21,8,1,PRSE,1,S,0,13.3,29.4,4.7
2020,5/14/21,8,1,PRSE,2,U,0,27.9,24.2,3
2020,5/14/21,8,1,PRSE,3,S,1,30.6,22.5,4.2
2020,5/14/21,8,1,PRSE,4,S,0,21.6,17.6,2.2
2020,5/14/21,8,1,PRSE,5,S,4,25.3,24.3,2.3
2020,5/14/21,8,1,PRSE,6,S,1,11.5,25.2,2.6
2020,5/14/21,8,1,PRSE,7,S,1,11.7,32,3.3
2020,5/14/21,8,1,PRSE,8,U,0,20.5,22,3.7
2020,5/14/21,8,1,PRSE,9,S,3,21.7,21.7,2.2
2020,5/14/21,8,1,PRSE,10,S,2,9.8,28.6,4.7
2020,5/14/21,8,1,PRSE,11,S,0,19.1,20,1.8
2020,5/14/21,8,1,PRSE,12,S,0,14.8,31.7,4.2
2020,5/14/21,8,1,PRSE,13,S,0,17.4,25.4,2.3
2020,5/14/21,8,1,PRSE,14,S,0,24.1,19.7,3.1
2020,5/14/21,8,1,PRSE,15,S,0,13.6,30,2.2
2020,5/14/21,8,1,PRSE,16,U,1,20.2,34.8,2.9
2020,5/14/21,8,1,PRSE,17,U,1,18.7,22.7,3.6
2020,5/14/21,8,1,PRSE,18,U,0,29.1,19.9,2.2
2020,5/14/21,8,1,PRSE,19,U,0,32.2,32.7,3.1
2020,5/14/21,8,1,PRSE,20,U,0,25,25.5,4.7
2020,5/14/21,8,1,BELE,1,U,1,25.6,38.5,4.2
2020,5/14/21,8,1,BELE,2,S,0,25,33,3.4
2020,5/14/21,8,1,BELE,3,S,0,26.9,37,4.3
2020,5/14/21,8,1,BELE,4,S,0,30.4,42.5,4.2
2020,5/14/21,8,1,BELE,5,S,1,22.4,40,3.9
2020,5/14/21,8,1,BELE,6,S,0,25,29.5,3
2020,5/14/21,8,1,BELE,7,S,1,25.8,32.5,3
2020,5/14/21,8,1,BELE,8,S,0,25.2,28,2.2
2020,5/14/21,8,1,BELE,9,U,2,27.5,29.5,3.1
2020,5/14/21,8,1,BELE,10,S,0,27.5,42,4.4
2020,5/14/21,8,1,BELE,11,S,2,31.6,25.5,3
2020,5/14/21,8,1,BELE,12,S,0,28.7,41.5,2.9
2020,5/14/21,8,1,BELE,13,S,3,23.3,21.5,2
2020,5/14/21,8,1,BELE,14,S,1,25.3,33,3.6
2020,5/14/21,8,1,BELE,15,S,0,21.1,38,3.4
2020,5/14/21,8,1,BELE,16,S,1,21.3,40,2.6
2020,5/14/21,8,1,BELE,17,S,1,23.6,36.5,4.7
2020,5/14/21,8,1,BELE,18,S,1,27,32,2
2020,5/14/21,8,1,BELE,19,S,1,22.6,30.5,5.4
2020,5/14/21,8,1,BELE,20,S,0,25.4,40.5,4.7
2020,5/14/21,8,1,CACO,1,U,1,26.8,19.5,1.7
2020,5/14/21,8,1,CACO,2,S,0,28.7,35.5,4.3
2020,5/14/21,8,1,CACO,3,S,0,24.5,24,3.6
2020,5/14/21,8,1,CACO,4,S,0,18.6,13.5,1.9
2020,5/14/21,8,1,CACO,5,S,1,27.6,25.5,2.4
2020,5/14/21,8,1,CACO,6,S,0,27.1,21,2
2020,5/14/21,8,1,CACO,7,U,1,27.2,24.5,3.4
2020,5/14/21,8,1,CACO,8,S,0,25.4,30,4.2
2020,5/14/21,8,1,CACO,9,U,1,26.1,23.5,3
2020,5/14/21,8,1,CACO,10,U,0,27.4,24,5.2
2020,5/14/21,8,1,CACO,11,U,1,20.7,20.5,2.5
2020,5/14/21,8,1,CACO,12,S,1,23.7,28.5,4.7
2020,5/14/21,8,1,CACO,13,S,0,23.1,33.5,3.8
2020,5/14/21,8,1,CACO,14,S,1,35.3,23.5,2.3
2020,5/14/21,8,1,CACO,15,S,1,24.6,27.5,3.8
2020,5/14/21,8,1,CACO,16,S,1,13.8,29,4.3
2020,5/14/21,8,1,CACO,17,S,1,24.4,17.5,3
2020,5/14/21,8,1,CACO,18,U,0,32.6,32,3.2
2020,5/14/21,8,1,CACO,19,U,1,21.6,25,3.1
2020,5/14/21,8,1,CACO,20,U,0,22.5,38,4.4
2020,5/14/21,8,1,QURU,1,S,0,22.8,40,6.1
2020,5/14/21,8,1,QURU,2,U,0,31.4,35.5,6.3
2020,5/14/21,8,1,QURU,3,U,0,19.1,36.5,7.5
2020,5/14/21,8,1,QURU,4,U,0,20.9,30.5,6.3
2020,5/14/21,8,1,QURU,5,S,0,29.7,29,4.8
2020,5/14/21,8,1,QURU,6,S,1,23.6,25.5,6.8
2020,5/14/21,8,1,QURU,7,S,0,12.1,29,4.2
2020,5/14/21,8,1,QURU,8,U,0,24,26,4.1
2020,5/14/21,8,1,QURU,9,S,1,25.2,37.5,5.3
2020,5/14/21,8,1,QURU,10,S,0,29.2,38,4.6
2020,5/14/21,8,1,QURU,11,U,1,25.5,46,6.7
2020,5/14/21,8,1,QURU,12,S,0,19.1,39,7.4
2020,5/14/21,8,1,QURU,13,S,0,25.5,33.5,4.8
2020,5/14/21,8,1,QURU,14,S,1,19.5,44,7.8
2020,5/14/21,8,1,QURU,15,S,1,24.3,42,7.2
2020,5/14/21,8,1,QURU,16,S,1,21.9,37.5,4.6
2020,5/14/21,8,1,QURU,17,S,1,33.6,36,5.8
2020,5/14/21,8,1,QURU,18,S,1,24.1,46.5,4.9
2020,5/14/21,8,1,QURU,19,U,1,18.7,35.5,7.5
2020,5/14/21,8,1,QURU,20,U,1,27.1,38,6.6
2020,5/14/21,8,1,TIAM,1,U,1,33.1,24.5,3.1
2020,5/14/21,8,1,TIAM,2,S,0,26.3,24,3.9
2020,5/14/21,8,1,TIAM,3,S,1,22.1,22,4.4
2020,5/14/21,8,1,TIAM,4,S,0,22.3,23.5,2.7
2020,5/14/21,8,1,TIAM,5,U,1,29.5,23,3.6
2020,5/14/21,8,1,TIAM,6,U,0,31.6,28.5,2.4
